City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
402,Hohoe,GH,7.1518,0.4736,73.99,92,12,2.91,few clouds
403,Dongsheng,CN,39.8161,109.9776,22.73,31,0,12.84,clear sky
404,Catamarca,AR,-28.4696,-65.7852,71.49,42,0,13.8,clear sky
405,Bayan,CN,46.0833,127.4,18.75,77,100,8.34,overcast clouds
406,Touros,BR,-5.1989,-35.4608,79.7,77,56,11.12,broken clouds
407,Uarini,BR,-2.99,-65.1083,73.47,98,87,2.42,overcast clouds
408,Parthenay,FR,46.6667,-0.4167,28.38,89,28,7.29,scattered clouds
409,Vacaria,BR,-28.5122,-50.9339,57.72,74,93,7.94,overcast clouds
410,Tupelo,US,34.2576,-88.7034,43.09,60,1,3.0,clear sky
411,Salalah,OM,17.0151,54.0924,77.09,18,0,10.36,clear sky
412,Kedrovyy,RU,56.1667,91.8167,28.87,78,98,9.26,overcast clouds
413,Vila,PT,42.0304,-8.1588,36.48,94,99,2.82,overcast clouds
414,Mitsamiouli,KM,-11.3847,43.2844,82.69,65,20,3.44,light rain
415,Tomari,RU,47.7658,142.0683,32.41,68,96,3.31,overcast clouds
416,Ardahan,TR,41.1087,42.7022,37.63,86,89,4.12,light rain
417,Ubinskoye,RU,55.3068,79.6802,16.95,81,100,9.82,overcast clouds
418,Jatibonico,CU,21.9419,-79.17,65.91,77,84,5.28,broken clouds
419,Opuwo,NA,-18.0607,13.84,69.93,26,30,5.28,scattered clouds
420,Ketchikan,US,55.3422,-131.6461,43.27,87,90,13.8,light rain
421,Luderitz,NA,-26.6481,15.1594,61.52,73,3,9.91,clear sky
422,Cukai,MY,4.25,103.4167,87.94,65,73,6.46,broken clouds
423,Luwuk,ID,-0.9516,122.7875,86.72,65,96,3.2,light rain
424,Bandarbeyla,SO,9.4942,50.8122,79.29,65,8,19.33,clear sky
425,Cilegon,ID,-6.0174,106.0538,85.89,80,100,2.89,light rain
426,Omaruru,NA,-21.4333,15.9333,69.35,18,3,2.98,clear sky
427,Dodola,ET,6.9833,39.1833,53.19,49,36,4.36,scattered clouds
428,Viransehir,TR,37.2353,39.7631,56.19,60,100,6.85,overcast clouds
429,Takaungu,KE,-3.6837,39.8566,79.29,73,38,3.78,moderate rain
430,Ascension,US,30.2169,-90.9001,48.2,94,1,0.0,clear sky
431,Sumbe,AO,-11.2061,13.8437,76.75,88,100,2.84,light rain
432,Saint-Ambroise,CA,48.5501,-71.3324,22.82,98,81,0.34,broken clouds
433,Thoen,TH,17.6129,99.2161,81.55,51,77,4.03,broken clouds
434,Mayo,US,38.8876,-76.5119,37.96,72,1,1.01,clear sky
435,Upernavik,GL,72.7868,-56.1549,21.61,95,100,2.26,overcast clouds
436,Freeport,US,40.6576,-73.5832,34.97,63,1,1.99,clear sky
437,Barra Do Garcas,BR,-15.89,-52.2567,72.64,95,100,3.13,overcast clouds
438,Perote,MX,19.5667,-97.2333,47.79,90,97,3.09,overcast clouds
439,Wheatley,GB,51.7473,-1.1394,48.76,88,75,1.99,broken clouds
440,Sitka,US,57.0531,-135.33,37.29,87,90,9.22,light rain
441,Honningsvag,NO,70.9821,25.9704,20.95,73,30,25.32,scattered clouds
442,Raudeberg,NO,61.9875,5.1352,36.27,90,100,11.01,light snow
443,Le Port,RE,-20.9373,55.2919,84.16,87,9,1.21,clear sky
444,Ende,ID,-8.8432,121.6623,85.12,69,92,3.24,overcast clouds
445,Reconquista,AR,-29.15,-59.65,62.46,51,0,4.81,clear sky
446,Macau,MO,22.2006,113.5461,76.93,53,2,23.02,clear sky
447,San Jeronimo,PE,-11.9472,-75.2829,51.35,84,100,3.42,overcast clouds
448,La Mina,HN,15.3167,-87.8333,70.25,94,20,2.3,mist
449,Skotterud,NO,59.9828,12.1283,24.21,83,100,5.12,overcast clouds
450,Galyugayevskaya,RU,43.6969,44.9344,50.94,53,100,7.7,overcast clouds
451,Road Town,VG,18.4167,-64.6167,78.89,70,13,12.8,few clouds
452,Puerto Escondido,MX,15.85,-97.0667,77.83,73,1,0.0,clear sky
453,Wuchang,CN,44.9143,127.15,22.06,74,100,11.1,overcast clouds
454,Iskateley,RU,67.6803,53.1512,-5.51,100,68,2.93,broken clouds
455,Iqaluit,CA,63.7506,-68.5145,11.93,78,90,11.99,light snow
456,Dawlatabad,AF,36.4141,64.9053,62.2,29,14,3.22,few clouds
457,Chinsali,ZM,-10.5414,32.0816,72.88,58,64,3.96,broken clouds
458,Alofi,NU,-19.0595,-169.9187,80.49,57,21,13.8,few clouds
459,Narsaq,GL,60.9167,-46.05,33.01,99,100,7.87,snow
460,Prince Albert,CA,53.2001,-105.7677,19.35,86,1,3.44,clear sky
461,Nyurba,RU,63.2842,118.3319,-9.49,98,96,2.62,overcast clouds
462,Robertson,US,36.5167,-86.8667,44.46,44,40,9.22,scattered clouds
463,Kang,BW,-23.6752,22.7876,74.62,54,5,6.8,clear sky
464,Riyadh,SA,24.6877,46.7219,60.85,36,0,3.44,clear sky
465,Chhabra,IN,24.6667,76.8333,72.7,39,100,4.83,overcast clouds
466,Erzin,TR,36.9559,36.2,52.32,58,100,7.76,overcast clouds
467,Bairiki,KI,1.3292,172.9752,86.0,62,40,12.66,scattered clouds
468,Saint-Georges,GD,12.0564,-61.7485,78.48,78,20,8.05,few clouds
469,Chernyshevsk,RU,52.5243,117.0174,6.73,81,78,1.7,broken clouds
470,Najran,SA,17.4924,44.1277,52.45,40,0,0.74,clear sky
471,Diffa,NE,13.3154,12.6113,71.91,21,41,10.4,scattered clouds
472,Janakkala,FI,60.9,24.6,15.66,83,100,9.91,overcast clouds
473,Bethel,US,41.3712,-73.414,31.82,74,1,0.0,clear sky
474,Port-Gentil,GA,-0.7193,8.7815,78.93,84,100,11.63,moderate rain
475,Sindor,RU,62.8629,51.8905,4.68,91,99,10.07,overcast clouds
476,Birjand,IR,32.8663,59.2211,43.27,56,0,4.61,clear sky
477,Tottori,JP,35.5,134.2333,62.67,59,75,17.27,broken clouds
478,Kabanjahe,ID,3.1001,98.4908,72.34,68,90,7.92,overcast clouds
479,Azul,AR,-36.777,-59.8585,51.04,71,0,8.19,clear sky
480,Omsukchan,RU,62.5333,155.8,-17.05,98,100,4.34,overcast clouds
481,Jalu,LY,29.0331,21.5482,56.17,37,28,9.13,scattered clouds
482,Banikoara,BJ,11.2985,2.4386,69.35,18,64,5.01,broken clouds
483,Karaton,ID,-6.3424,106.1045,87.89,91,100,2.01,heavy intensity rain
484,Guerrero Negro,MX,27.9769,-114.0611,63.9,80,0,9.22,clear sky
485,Jiuquan,CN,39.7432,98.5174,31.77,25,88,4.74,overcast clouds
486,Oktyabrskoye,RU,43.0645,44.7417,44.74,71,100,4.47,overcast clouds
487,Myatlevo,RU,54.8969,35.6762,39.15,94,100,20.49,overcast clouds
488,Nagapattinam,IN,10.7667,79.8333,82.29,77,94,11.03,overcast clouds
489,Beyneu,KZ,45.3167,55.2,41.29,59,23,16.58,few clouds
490,Todos Santos,MX,23.45,-110.2167,77.0,78,100,8.39,overcast clouds
491,Coronel Fabriciano,BR,-19.5186,-42.6289,72.32,95,42,2.42,scattered clouds
492,Margate,GB,51.3813,1.3862,45.7,89,100,3.0,light rain
493,Pyaozerskiy,RU,65.8333,31.1667,17.67,84,100,13.44,overcast clouds
494,Hami,CN,42.8,93.45,29.98,48,15,3.74,few clouds
495,Kadhan,PK,24.481,68.9859,80.82,27,43,4.12,scattered clouds
496,Shakawe,BW,-18.3667,21.85,73.72,59,82,3.56,broken clouds
497,Salinopolis,BR,-0.6136,-47.3561,79.48,85,63,9.13,broken clouds
498,Santa Cruz,BO,-17.8,-63.1667,72.86,94,90,0.0,overcast clouds
499,Oranjemund,NA,-28.55,16.4333,61.99,86,6,5.41,clear sky
500,Aklavik,CA,68.2191,-135.0107,-22.97,98,91,3.02,overcast clouds
501,Thanyaburi,TH,14.0211,100.7343,83.91,49,20,8.05,few clouds
502,Pringsewu,ID,-5.3582,104.9744,82.54,79,95,4.38,overcast clouds
503,Barcelona,ES,41.3888,2.159,50.54,77,75,1.99,broken clouds
504,Emerald,AU,-23.5333,148.1667,72.99,82,90,0.0,light rain
505,Zhigansk,RU,66.7697,123.3711,-16.37,98,100,1.59,overcast clouds
506,Gushikawa,JP,26.3544,127.8686,78.39,76,40,17.27,scattered clouds
507,Viedma,AR,-40.8135,-62.9967,55.35,68,69,3.58,broken clouds
508,Neuquen,AR,-38.9516,-68.0591,62.49,55,0,0.0,clear sky
509,Barra Patuca,HN,15.8,-84.2833,74.59,77,100,8.52,overcast clouds
510,Goderich,CA,43.7501,-81.7165,32.92,80,100,6.91,overcast clouds
511,Carlisle,US,40.2015,-77.1889,38.84,88,46,4.92,scattered clouds
512,Qaqortoq,GL,60.7167,-46.0333,32.81,99,100,12.86,snow
513,Samarai,PG,-10.6167,150.6667,85.53,72,9,12.26,clear sky
514,Aripuana,BR,-9.1667,-60.6333,72.55,93,88,0.83,overcast clouds
515,Kieta,PG,-6.2167,155.6333,83.62,75,94,6.29,light rain
516,The Valley,AI,18.217,-63.0578,80.46,73,6,14.27,clear sky
