City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Salalah,OM,2021-11-30 01:15:15,17.0151,54.0924,77.09,22,0,12.66
59,Lebu,CL,2021-11-30 01:15:16,-37.6167,-73.65,53.94,85,100,17.13
60,Kavaratti,IN,2021-11-30 01:15:17,10.5669,72.642,81.14,77,100,13.94
61,Zhigansk,RU,2021-11-30 01:15:17,66.7697,123.3711,-16.49,98,100,1.68
62,Havre-Saint-Pierre,CA,2021-11-30 01:15:18,50.2334,-63.5986,30.2,93,90,10.36
63,Jamestown,US,2021-11-30 01:13:24,42.097,-79.2353,33.39,93,90,11.5
64,Santiago,CL,2021-11-30 01:11:52,-33.4569,-70.6483,70.18,19,0,11.5
65,Saint-Philippe,RE,2021-11-30 01:11:48,-21.3585,55.7679,76.55,83,42,7.99
66,Xining,CN,2021-11-30 01:15:19,36.6167,101.7667,17.06,51,4,2.06
67,Castro,BR,2021-11-30 01:15:20,-24.7911,-50.0119,65.3,92,20,5.68
68,Normandin,CA,2021-11-30 01:15:20,48.8333,-72.5321,19.71,79,83,3.44
69,Gorontalo,ID,2021-11-30 01:15:21,0.5412,123.0595,79.16,91,100,2.17
70,Esperance,AU,2021-11-30 01:15:22,-33.8667,121.9,60.39,62,100,11.95
71,Smithers,CA,2021-11-30 01:15:22,54.7804,-127.1743,28.72,93,90,3.44
72,Sao Joao Da Barra,BR,2021-11-30 01:15:23,-21.6403,-41.0511,75.2,92,85,16.08
73,Severo-Kurilsk,RU,2021-11-30 01:15:23,50.6789,156.125,32.54,66,98,31.47
74,Beidao,CN,2021-11-30 01:15:24,34.5686,105.8933,34.83,40,0,1.74
75,Lake Havasu City,US,2021-11-30 01:14:18,34.4839,-114.3224,75.24,17,1,1.01
76,Tasiilaq,GL,2021-11-30 01:11:50,65.6145,-37.6368,21.36,88,88,4.16
77,Lorengau,PG,2021-11-30 01:15:25,-2.0226,147.2712,83.12,80,100,10.16
78,Ostrovnoy,RU,2021-11-30 01:15:26,68.0531,39.5131,6.75,74,99,5.95
79,Qaanaaq,GL,2021-11-30 01:13:00,77.484,-69.3632,11.88,58,100,4.85
80,Mareeba,AU,2021-11-30 01:15:27,-17.0,145.4333,92.32,58,31,7.16
81,Avarua,CK,2021-11-30 01:11:56,-21.2078,-159.775,80.65,57,42,13.8
82,Saint George,US,2021-11-30 01:11:01,37.1041,-113.5841,61.27,30,1,0.0
83,Praia Da Vitoria,PT,2021-11-30 01:15:28,38.7333,-27.0667,54.75,94,40,6.91
84,Narsaq,GL,2021-11-30 01:11:59,60.9167,-46.05,34.02,99,100,9.08
85,Hobart,AU,2021-11-30 01:08:09,-42.8794,147.3294,80.02,38,20,3.0
86,Nelson Bay,AU,2021-11-30 01:15:30,-32.7167,152.15,73.29,84,100,1.99
87,Marienburg,PL,2021-11-30 01:15:31,54.0359,19.0266,32.11,82,39,15.77
88,Nikolskoye,RU,2021-11-30 01:13:09,59.7035,30.7861,26.4,95,100,9.1
89,Liusha,CN,2021-11-30 01:15:32,27.2098,108.59,46.22,80,12,2.57
90,Southbridge,US,2021-11-30 01:16:33,42.0751,-72.0334,32.58,71,5,1.01
91,Stephenville,US,2021-11-30 01:15:24,32.2207,-98.2023,65.16,43,1,3.44
92,Gisors,FR,2021-11-30 01:16:35,49.2818,1.7801,41.09,87,100,12.15
93,Makakilo City,US,2021-11-30 01:16:35,21.3469,-158.0858,80.92,61,20,11.5
94,Santa Isabel Do Rio Negro,BR,2021-11-30 01:16:36,-0.4139,-65.0192,79.45,76,100,3.09
95,Atuona,PF,2021-11-30 01:11:34,-9.8,-139.0333,78.96,76,6,21.7
96,Tilichiki,RU,2021-11-30 01:16:37,60.4667,166.1,25.83,97,100,5.01
97,Nueva Loja,EC,2021-11-30 01:16:38,0.0847,-76.8828,72.3,98,100,1.41
98,Bluff,NZ,2021-11-30 01:16:38,-46.6,168.3333,61.81,74,84,3.91
99,Uray,RU,2021-11-30 01:16:39,60.1247,64.7758,25.63,96,100,6.46
100,Doka,SD,2021-11-30 01:16:39,13.5167,35.7667,77.07,33,5,9.95
101,Luanda,AO,2021-11-30 01:13:26,-8.8368,13.2343,78.8,83,75,5.75
102,Kodiak,US,2021-11-30 01:16:40,57.79,-152.4072,36.91,87,90,10.36
103,Pevek,RU,2021-11-30 01:16:41,69.7008,170.3133,-7.8,100,80,3.71
104,Biryusinsk,RU,2021-11-30 01:16:41,55.9634,97.8235,24.21,82,100,8.63
105,Galle,LK,2021-11-30 01:16:42,6.0367,80.217,77.74,86,95,3.22
106,Itaituba,BR,2021-11-30 01:16:43,-4.2761,-55.9836,75.47,92,97,0.2
107,Hermanus,ZA,2021-11-30 01:12:00,-34.4187,19.2345,61.9,83,58,11.07
108,Jucurutu,BR,2021-11-30 01:16:44,-6.0339,-37.0203,83.25,59,48,12.26
109,Tuatapere,NZ,2021-11-30 01:16:45,-46.1333,167.6833,61.83,65,81,6.96
110,Voh,NC,2021-11-30 01:16:46,-20.9667,164.7,88.27,57,78,2.24
111,Vila Do Maio,CV,2021-11-30 01:16:47,15.1333,-23.2167,74.77,70,100,21.88
112,Dingle,PH,2021-11-30 01:11:47,10.9995,122.6711,82.63,80,100,7.02
113,Victoria,HK,2021-11-30 01:16:48,22.2855,114.1577,73.26,64,1,11.01
114,Nanortalik,GL,2021-11-30 01:16:48,60.1432,-45.2371,34.2,97,100,12.41
115,Necochea,AR,2021-11-30 01:16:49,-38.5473,-58.7368,56.03,80,0,11.5
116,Verkhnevilyuysk,RU,2021-11-30 01:16:50,63.4453,120.3167,-10.52,98,100,3.09
117,Shingu,JP,2021-11-30 01:16:50,33.7333,135.9833,65.39,81,100,3.65
118,Newnan,US,2021-11-30 01:15:26,33.3807,-84.7997,44.8,59,1,4.61
119,Natchitoches,US,2021-11-30 01:16:51,31.7668,-93.1335,54.28,87,1,0.0
120,Thompson,CA,2021-11-30 01:11:53,55.7435,-97.8558,23.23,87,100,14.32
121,Flinders,AU,2021-11-30 01:13:17,-34.5833,150.8552,76.05,72,100,4.0
122,Khelyulya,RU,2021-11-30 01:16:53,61.7333,30.6833,19.04,92,100,17.11
123,Sao Felix Do Xingu,BR,2021-11-30 01:12:22,-6.6447,-51.995,72.66,99,100,0.83
124,Ciudad Bolivar,VE,2021-11-30 01:16:54,8.1222,-63.5497,80.29,69,100,11.23
125,Port Augusta,AU,2021-11-30 01:16:54,-32.5,137.7667,90.72,19,14,3.65
126,Chokurdakh,RU,2021-11-30 01:13:14,70.6333,147.9167,-13.65,99,100,3.89
127,Suntar,RU,2021-11-30 01:16:55,62.1444,117.6319,-8.12,98,100,1.19
128,Saskylakh,RU,2021-11-30 01:13:06,71.9167,114.0833,-27.71,100,88,4.18
129,Khatanga,RU,2021-11-30 01:11:51,71.9667,102.5,-32.01,100,91,1.72
130,Kushmurun,KZ,2021-11-30 01:16:57,52.4503,64.6311,6.42,94,6,6.44
131,Klaksvik,FO,2021-11-30 01:16:57,62.2266,-6.589,34.72,60,100,8.3
132,Balad,IQ,2021-11-30 01:16:58,34.0164,44.1453,61.34,46,48,9.95
133,Ribeira Grande,PT,2021-11-30 01:13:08,38.5167,-28.7,61.92,62,8,8.52
134,Lasa,IT,2021-11-30 01:13:19,46.6166,10.7002,27.63,95,58,7.2
135,Verkhoyansk,RU,2021-11-30 01:17:00,67.5447,133.385,-32.49,100,100,2.64
136,Isangel,VU,2021-11-30 01:17:00,-19.55,169.2667,84.13,69,86,4.85
137,Ancud,CL,2021-11-30 01:16:03,-41.8697,-73.8203,53.42,83,1,1.61
138,Torbay,CA,2021-11-30 01:18:01,47.6666,-52.7314,44.89,92,90,13.8
139,Maldonado,UY,2021-11-30 01:18:02,-34.6667,-54.9167,65.23,95,100,21.18
140,Milkovo,RU,2021-11-30 01:18:03,54.7167,158.6167,15.35,93,100,2.73
141,Dikson,RU,2021-11-30 01:16:07,73.5069,80.5464,-13.02,96,100,14.47
142,Antofagasta,CL,2021-11-30 01:18:04,-23.65,-70.4,61.88,78,17,3.74
143,Huarmey,PE,2021-11-30 01:18:04,-10.0681,-78.1522,67.1,83,91,8.93
144,Bama,NG,2021-11-30 01:18:05,11.5221,13.6856,70.48,25,100,3.58
145,Barrow,US,2021-11-30 01:13:10,71.2906,-156.7887,-16.58,69,75,8.05
146,Mitsamiouli,KM,2021-11-30 01:18:06,-11.3847,43.2844,80.28,78,9,7.9
147,Aklavik,CA,2021-11-30 01:18:06,68.2191,-135.0107,-22.97,94,96,3.24
148,Morondava,MG,2021-11-30 01:18:07,-20.2833,44.2833,71.89,87,3,4.92
149,Aqtobe,KZ,2021-11-30 01:18:07,50.2797,57.2072,12.29,85,0,11.18
150,Sur,OM,2021-11-30 01:18:08,22.5667,59.5289,71.92,74,0,6.91
151,Sorland,NO,2021-11-30 01:18:08,67.667,12.6934,31.42,80,100,3.49
152,Kangaba,ML,2021-11-30 01:18:09,11.9333,-8.4167,73.87,21,72,4.61
153,Vila Franca Do Campo,PT,2021-11-30 01:18:10,37.7167,-25.4333,61.2,75,63,5.12
154,Okhotsk,RU,2021-11-30 01:18:10,59.3833,143.3,-11.02,87,23,18.39
155,Kruisfontein,ZA,2021-11-30 01:18:11,-34.0033,24.7314,60.89,85,16,5.68
156,Pangnirtung,CA,2021-11-30 01:17:15,66.1451,-65.7125,19.18,91,100,4.21
157,Grants Pass,US,2021-11-30 01:18:12,42.439,-123.3284,52.9,88,90,1.01
158,Teguldet,RU,2021-11-30 01:18:13,57.3064,88.1667,19.49,76,100,11.68
159,Naze,JP,2021-11-30 01:18:13,28.3667,129.4833,72.52,73,6,17.67
160,Mnogovershinnyy,RU,2021-11-30 01:18:14,53.9353,139.9242,7.79,74,100,4.7
161,Alofi,NU,2021-11-30 01:18:14,-19.0595,-169.9187,84.09,54,40,13.8
162,Altay,CN,2021-11-30 01:18:15,47.8667,88.1167,18.63,61,6,7.18
163,Petropavlovsk-Kamchatskiy,RU,2021-11-30 01:13:27,53.0452,158.6483,23.59,86,90,15.66
164,Zheleznodorozhnyy,RU,2021-11-30 01:18:16,55.7503,38.0042,41.61,94,100,15.1
165,Los Chiles,CR,2021-11-30 01:18:16,11.0333,-84.7167,72.36,94,100,5.46
166,Northam,GB,2021-11-30 01:18:17,51.0333,-4.2167,51.62,87,100,14.58
167,Bathsheba,BB,2021-11-30 01:18:17,13.2167,-59.5167,81.21,78,75,12.66
168,Mujiayingzi,CN,2021-11-30 01:18:18,42.1167,118.7833,20.53,45,1,21.3
169,Marawi,PH,2021-11-30 01:18:19,7.9986,124.2928,73.65,80,53,2.53
170,Norman Wells,CA,2021-11-30 01:13:09,65.282,-126.8329,-25.73,98,9,3.2
171,Beringovskiy,RU,2021-11-30 01:18:19,63.05,179.3167,6.46,95,97,6.4
172,Bengkulu,ID,2021-11-30 01:18:20,-3.8004,102.2655,76.1,83,100,8.16
173,Bethel,US,2021-11-30 01:13:20,41.3712,-73.414,35.56,72,6,4.12
174,Juquitiba,BR,2021-11-30 01:18:21,-23.9317,-47.0683,80.08,92,96,7.4
175,San Quintin,MX,2021-11-30 01:18:22,30.4833,-115.95,62.42,78,0,7.25
176,Faya,SA,2021-11-30 01:18:22,18.3851,42.4509,48.72,49,0,6.91
177,Awjilah,LY,2021-11-30 01:18:23,29.1081,21.2869,58.93,51,25,9.04
178,Caravelas,BR,2021-11-30 01:18:23,-17.7125,-39.2481,76.28,91,88,11.12
179,Rawson,AR,2021-11-30 01:18:24,-43.3002,-65.1023,59.85,58,0,9.55
180,Ntoum,GA,2021-11-30 01:18:24,0.3833,9.7833,76.77,92,99,2.64
181,Carnarvon,AU,2021-11-30 01:18:25,-24.8667,113.6333,75.27,60,0,24.16
182,Geraldton,AU,2021-11-30 01:18:26,-28.7667,114.6,74.12,53,90,19.57
183,Coihaique,CL,2021-11-30 01:14:51,-45.5752,-72.0662,50.61,66,0,3.44
184,Touros,BR,2021-11-30 01:18:27,-5.1989,-35.4608,81.5,78,29,12.48
185,Mikkeli,FI,2021-11-30 01:19:27,61.6886,27.2723,15.15,85,90,6.91
186,Srivardhan,IN,2021-11-30 01:19:28,18.0333,73.0167,76.71,69,53,5.64
187,Kuching,MY,2021-11-30 01:15:05,1.55,110.3333,77.22,94,20,3.44
188,Inhambane,MZ,2021-11-30 01:19:29,-23.865,35.3833,71.8,80,8,9.17
189,Vaitape,PF,2021-11-30 01:19:29,-16.5167,-151.75,80.38,78,100,13.15
190,Tottori,JP,2021-11-30 01:19:30,35.5,134.2333,60.87,51,75,9.22
191,Bima,ID,2021-11-30 01:19:30,-8.4667,118.7167,83.07,73,99,3.2
192,La Asuncion,VE,2021-11-30 01:14:57,11.0333,-63.8628,79.9,79,100,18.05
193,Kangaatsiaq,GL,2021-11-30 01:19:31,68.3065,-53.4641,32.52,99,100,4.45
194,Lukiv,UA,2021-11-30 01:19:32,51.0521,25.4006,35.19,94,100,21.83
195,Mahibadhoo,MV,2021-11-30 01:19:33,3.7833,72.9667,82.27,78,99,14.99
196,Namtsy,RU,2021-11-30 01:19:33,62.7161,129.6658,-25.49,100,99,1.7
197,Belmonte,BR,2021-11-30 01:19:34,-15.8631,-38.8828,79.3,93,100,11.14
198,Oriximina,BR,2021-11-30 01:19:34,-1.7656,-55.8661,79.75,73,100,3.4
199,Aksu,CN,2021-11-30 01:19:35,41.1231,80.2644,22.93,53,84,0.81
200,North Bend,US,2021-11-30 01:19:36,43.4065,-124.2243,56.07,97,1,9.22
201,Trelew,AR,2021-11-30 01:19:37,-43.249,-65.3051,60.8,53,0,10.07
202,Yellowknife,CA,2021-11-30 01:19:37,62.456,-114.3525,-16.58,82,20,3.0
203,Talnakh,RU,2021-11-30 01:11:38,69.4865,88.3972,-12.8,92,100,4.0
204,San-Pedro,CI,2021-11-30 01:19:39,4.7485,-6.6363,78.06,85,34,3.09
205,Ponta Do Sol,PT,2021-11-30 01:13:04,32.6667,-17.1,63.01,68,89,3.83
206,Hosur,IN,2021-11-30 01:19:39,12.7167,77.8167,67.91,97,96,7.87
207,Sedalia,US,2021-11-30 01:18:05,38.7045,-93.2283,56.91,56,1,11.5
208,Zhengjiatun,CN,2021-11-30 01:19:40,43.5064,123.5064,20.91,82,100,9.95
209,Talakag,PH,2021-11-30 01:19:41,8.2336,124.6003,77.36,74,58,2.24
210,Rio Gallegos,AR,2021-11-30 01:19:41,-51.6226,-69.2181,53.65,32,0,19.57
211,Olga,RU,2021-11-30 01:19:42,43.7444,135.2892,33.93,59,100,4.29
212,Praxedis Guerrero,MX,2021-11-30 01:19:43,31.3667,-106.0167,60.57,39,48,3.69
213,Port Macquarie,AU,2021-11-30 01:13:25,-31.4333,152.9167,71.56,75,100,8.32
214,Saldanha,ZA,2021-11-30 01:19:44,-33.0117,17.9442,61.0,86,54,4.27
215,Jackson,US,2021-11-30 01:15:12,42.4165,-122.8345,49.78,89,90,3.44
216,Vengerovo,RU,2021-11-30 01:19:45,55.6848,76.7471,14.45,87,100,6.98
217,Tiksi,RU,2021-11-30 01:11:43,71.6872,128.8694,-21.87,99,98,6.22
218,High River,CA,2021-11-30 01:15:25,50.5834,-113.8687,41.52,55,84,2.62
219,Khonsa,IN,2021-11-30 01:19:46,27.0167,95.5667,55.47,68,94,3.85
220,Taltal,CL,2021-11-30 01:15:20,-25.4,-70.4833,62.4,76,0,3.94
221,Kem,RU,2021-11-30 01:19:47,64.9555,34.5793,22.73,74,100,15.21
222,Mildura,AU,2021-11-30 01:16:09,-34.2,142.15,89.08,22,40,5.75
223,Newtownards,GB,2021-11-30 01:19:48,54.5924,-5.6909,51.75,91,90,5.99
224,Moron,AR,2021-11-30 01:19:49,-34.6534,-58.6198,71.35,63,0,1.99
225,Codrington,AU,2021-11-30 01:19:49,-38.2667,141.9667,83.25,26,10,7.63
226,Hobyo,SO,2021-11-30 01:11:45,5.3505,48.5268,78.64,69,10,15.26
227,Saint-Georges,GD,2021-11-30 01:19:50,12.0564,-61.7485,78.48,83,20,8.05
228,Roald,NO,2021-11-30 01:19:51,62.5833,6.1333,36.34,87,90,12.66
229,Tambo,PE,2021-11-30 01:19:51,-14.8,-73.9167,37.4,70,61,3.44
230,Esso,RU,2021-11-30 01:20:52,55.9333,158.7,14.13,87,100,3.2
231,Pisco,PE,2021-11-30 01:20:52,-13.7,-76.2167,64.45,82,0,13.8
232,Airai,TL,2021-11-30 01:20:53,-8.9266,125.4092,72.3,57,78,1.97
233,Te Anau,NZ,2021-11-30 01:13:08,-45.4167,167.7167,66.94,43,50,3.67
234,Berlevag,NO,2021-11-30 01:20:54,70.8578,29.0864,19.78,87,65,28.34
235,Batagay-Alyta,RU,2021-11-30 01:20:54,67.8006,130.4114,-21.39,97,99,3.53
236,Pemangkat,ID,2021-11-30 01:20:55,1.1667,108.9667,79.45,79,100,6.29
237,Murgab,TM,2021-11-30 01:20:55,37.4966,61.9714,44.47,70,40,6.91
238,Georgetown,MY,2021-11-30 01:20:56,5.4112,100.3354,78.75,92,20,1.01
239,Yumen,CN,2021-11-30 01:18:45,40.2833,97.2,17.08,54,57,10.56
240,Kindu,CD,2021-11-30 01:20:57,-2.95,25.95,70.02,99,100,2.01
241,Mafinga,TZ,2021-11-30 01:20:58,-7.25,35.0667,68.31,78,78,3.44
242,Wilmington,US,2021-11-30 01:17:02,34.2257,-77.9447,50.86,65,1,0.0
243,Grand-Santi,GF,2021-11-30 01:20:59,4.25,-54.3833,73.15,98,90,2.06
244,Acarau,BR,2021-11-30 01:20:59,-2.8856,-40.12,80.58,79,46,15.03
245,Kichera,RU,2021-11-30 01:21:00,55.9375,110.0997,0.79,84,37,4.99
246,Aykhal,RU,2021-11-30 01:21:00,66.0,111.5,-27.13,100,15,1.97
247,Cumbitara,CO,2021-11-30 01:21:01,1.6517,-77.5823,58.73,98,99,1.07
248,Salihorsk,BY,2021-11-30 01:21:02,52.7876,27.5415,30.2,94,100,20.71
249,Pushkino,RU,2021-11-30 01:21:02,56.0172,37.8667,41.49,95,100,15.7
250,Katsuura,JP,2021-11-30 01:21:03,35.1333,140.3,63.19,64,97,18.68
251,Mahebourg,MU,2021-11-30 01:21:03,-20.4081,57.7,73.26,83,20,3.44
252,Sembe,CG,2021-11-30 01:21:04,1.6481,14.5806,71.29,90,100,0.69
253,Nizhniy Baskunchak,RU,2021-11-30 01:21:05,48.2198,46.8311,44.17,65,100,17.94
254,Ambilobe,MG,2021-11-30 01:21:06,-13.2,49.05,73.38,85,10,5.5
255,Ouango,CF,2021-11-30 01:21:06,4.3133,22.5552,70.59,97,100,0.43
256,Christchurch,NZ,2021-11-30 01:20:19,-43.5333,172.6333,68.02,75,90,5.01
257,Porto Novo,BJ,2021-11-30 01:21:07,6.4965,2.6036,80.42,84,80,5.44
258,Ilulissat,GL,2021-11-30 01:21:08,69.2167,-51.1,30.22,93,75,3.44
259,Vardo,NO,2021-11-30 01:21:09,70.3705,31.1107,23.07,84,100,28.34
260,Tevaitoa,PF,2021-11-30 01:21:09,-16.7833,-151.5,80.53,78,100,15.7
261,Monteagudo,BO,2021-11-30 01:21:10,-19.8167,-63.9833,66.22,72,100,0.51
262,Williams Lake,CA,2021-11-30 01:21:10,52.1415,-122.1445,42.37,94,90,1.01
263,Lagoa,PT,2021-11-30 01:21:11,39.05,-27.9833,60.24,64,71,7.16
264,Chumikan,RU,2021-11-30 01:21:12,54.7183,135.315,7.32,84,99,15.23
265,San Patricio,US,2021-11-30 01:21:12,28.017,-97.5169,62.83,65,100,7.36
266,Quatre Cocos,MU,2021-11-30 01:21:13,-20.2078,57.7625,73.09,74,14,8.12
267,High Level,CA,2021-11-30 01:21:13,58.5169,-117.136,1.51,92,75,0.0
268,Kryve Ozero,UA,2021-11-30 01:21:14,47.9524,30.3493,36.82,72,8,13.2
269,Larsnes,NO,2021-11-30 01:21:15,62.2028,5.5773,37.0,89,74,7.29
270,Varhaug,NO,2021-11-30 01:13:23,58.6147,5.6457,42.48,67,100,33.62
271,Comandau,RO,2021-11-30 01:21:15,45.7667,26.2667,29.95,91,100,3.74
272,Calama,CL,2021-11-30 01:21:16,-22.4667,-68.9333,56.89,33,0,7.65
