City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
391,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
393,Iquitos,PE,75.24,overcast clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
394,Hambantota,LK,84.54,few clouds,6.1241,81.1185,Bungalow 63
395,Tezu,IN,78.78,broken clouds,27.9167,96.1667,Circuit House
398,Padang,ID,77.05,light rain,-0.9492,100.3543,Mercure Padang
406,Touros,BR,79.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
411,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
414,Mitsamiouli,KM,82.69,light rain,-11.3847,43.2844,Foyer ADM
422,Cukai,MY,87.94,broken clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
423,Luwuk,ID,86.72,light rain,-0.9516,122.7875,Hotel Santika Luwuk
424,Bandarbeyla,SO,79.29,clear sky,9.4942,50.8122,JABIR HOTEL
425,Cilegon,ID,85.89,light rain,-6.0174,106.0538,Amaris Hotel Cilegon
429,Takaungu,KE,79.29,moderate rain,-3.6837,39.8566,Takaungu House
431,Sumbe,AO,76.75,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
433,Thoen,TH,81.55,broken clouds,17.6129,99.2161,Nakornthoen Hotel
443,Le Port,RE,84.16,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
444,Ende,ID,85.12,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
446,Macau,MO,76.93,clear sky,22.2006,113.5461,Grand Emperor Hotel
451,Road Town,VG,78.89,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
452,Puerto Escondido,MX,77.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
458,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
467,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
468,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
474,Port-Gentil,GA,78.93,moderate rain,-0.7193,8.7815,Fengshui Residence
483,Karaton,ID,87.89,heavy intensity rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
488,Nagapattinam,IN,82.29,overcast clouds,10.7667,79.8333,Sathya Lodge
490,Todos Santos,MX,77.0,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
495,Kadhan,PK,80.82,scattered clouds,24.481,68.9859,ڳوٺ چوڌري جلال الدين جٽ
497,Salinopolis,BR,79.48,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
501,Thanyaburi,TH,83.91,few clouds,14.0211,100.7343,Hotel RIDE 'n Lazy @ Thai Wake Park
502,Pringsewu,ID,82.54,overcast clouds,-5.3582,104.9744,Urban Style by Front One
506,Gushikawa,JP,78.39,scattered clouds,26.3544,127.8686,Kirari Guest House
513,Samarai,PG,85.53,clear sky,-10.6167,150.6667,Nuli Sapi
515,Kieta,PG,83.62,light rain,-6.2167,155.6333,Uruna Bay Retreat
516,The Valley,AI,80.46,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
528,Panama City,PA,82.06,overcast clouds,8.9936,-79.5197,Riande Urban Hotel
529,Tura,IN,76.53,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
531,Noumea,NC,86.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
536,Guanica,PR,79.92,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
538,Ahuimanu,US,78.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
543,Marawi,PH,76.64,broken clouds,7.9986,124.2928,Derogongan Residence
547,Grand Gaube,MU,82.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
554,Katubao,PH,84.18,broken clouds,5.8892,124.8294,IML Ecopark
560,Angoche,MZ,80.4,clear sky,-16.2325,39.9086,Guest House HESADA
562,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
565,Sorong,ID,84.11,moderate rain,-0.8833,131.25,Waigo Splash Hotel
570,Codrington,AU,76.57,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
575,Monrovia,LR,78.51,light rain,6.3005,-10.7969,Sunset Inn
577,Kassala,SD,78.39,clear sky,15.451,36.4,Amassi Hotel Gash
579,Itacoatiara,BR,76.42,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
580,Sabang,ID,76.68,moderate rain,5.8933,95.3214,Hotel Citra
588,Bac Lieu,VN,81.5,moderate rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
589,Keningau,MY,80.74,overcast clouds,5.3378,116.1602,Sabindo Hotel
590,Sompeta,IN,77.2,scattered clouds,18.9333,84.6,Netaji's Home
591,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
594,Honiara,SB,85.59,heavy intensity rain,-9.4333,159.95,Heritage Park Hotel
597,Wanning,CN,78.78,scattered clouds,18.8003,110.3967,Paradise Hotel
599,Lakes Entrance,AU,83.57,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
608,Puntarenas,CR,80.53,overcast clouds,9.9763,-84.8384,Michael's Surfside Hotel
611,Trairi,BR,79.9,scattered clouds,-3.2778,-39.2689,janelas do mar
623,Xuddur,SO,75.49,scattered clouds,4.1213,43.8894,Banjanay Hotel
628,Tamandare,BR,77.77,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
632,Nang Rong,TH,79.21,overcast clouds,14.6377,102.7914,Phanomrungpuri Boutique Hotels & Resorts
645,Mont-Dore,NC,86.0,scattered clouds,-22.2833,166.5833,GIte
646,Faanui,PF,80.58,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
647,Moroni,KM,82.4,light rain,-11.7022,43.2551,Hotel les Arcades
650,Kattivakkam,IN,86.09,broken clouds,13.2167,80.3167,Euronova Freezer
669,Martapura,ID,86.09,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
677,Mamallapuram,IN,86.05,broken clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
678,Kilindoni,TZ,80.2,moderate rain,-7.9139,39.6668,Bustani B&B
679,Hinundayan,PH,83.35,overcast clouds,10.3523,125.2506,Tolero's lodge
681,Pontal Do Parana,BR,80.26,overcast clouds,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
682,Anito,PH,85.03,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
684,Chiang Mai,TH,86.72,few clouds,18.75,99.0,"Holiday Inn Chiangmai, an IHG Hotel"
